,Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Min Temperature,Wind Speed
26,Dikson,98,RU,1574558397,97,73.51,80.55,-2.78,-2.78,8.41
27,Winslow,90,GB,1574558665,93,51.94,-0.88,48.2,42.01,2.24
28,Nanortalik,20,GL,1574558665,64,60.14,-45.24,34.74,34.74,6.8
29,Hualmay,37,PE,1574558665,79,-11.1,-77.61,63.77,63.77,5.23
30,Makakilo City,20,US,1574558666,65,21.35,-158.09,82.4,75.0,14.99
31,Vaini,0,IN,1574558666,88,15.34,74.49,62.6,62.6,3.36
32,Puerto Ayora,89,EC,1574558666,60,-0.74,-90.35,73.4,69.01,14.99
33,Port Hedland,99,AU,1574558556,26,-20.31,118.58,96.8,96.8,9.17
34,Cape Town,20,ZA,1574558467,93,-33.93,18.42,60.01,59.0,2.24
35,Kapaa,90,US,1574558666,69,22.08,-159.32,84.2,77.0,20.8
36,San Patricio,66,PY,1574558667,70,-26.98,-56.83,73.4,73.4,10.8
37,Saldanha,1,PT,1574558667,95,41.42,-6.55,40.75,40.75,8.05
38,Fortuna,40,US,1574558667,93,40.6,-124.16,52.0,46.99,10.29
39,Kodiak,1,US,1574558667,74,39.95,-94.76,39.0,36.0,8.05
40,Avarua,100,CK,1574558667,88,-21.21,-159.78,77.0,77.0,9.17
41,Huarmey,39,PE,1574558667,77,-10.07,-78.15,63.7,63.7,4.94
42,Bambanglipuro,55,ID,1574558667,80,-7.95,110.28,79.14,79.14,5.23
43,Provideniya,0,RU,1574558668,82,64.42,-173.23,3.97,3.97,5.64
44,Bredasdorp,0,ZA,1574558668,77,-34.53,20.04,59.0,59.0,2.24
45,Bonavista,83,CA,1574558668,89,48.65,-53.11,35.01,35.01,4.0
46,Russell,1,US,1574558669,74,38.9,-98.86,41.0,35.6,9.17
47,Bandarbeyla,17,SO,1574558669,78,9.49,50.81,81.09,81.09,19.82
48,Sitka,0,US,1574558669,59,37.17,-99.65,39.99,39.99,7.11
49,Hilo,90,US,1574558669,88,19.71,-155.08,73.4,66.99,5.82
50,Duldurga,46,RU,1574558670,82,50.67,113.59,-4.13,-4.13,7.27
51,Mahebourg,75,MU,1574558670,88,-20.41,57.7,77.0,77.0,1.32
52,Busselton,83,AU,1574558670,36,-33.64,115.35,73.0,64.0,9.71
53,Los Andes,0,CL,1574558671,59,-32.83,-70.6,62.01,60.8,13.87
54,Camacha,40,PT,1574558671,88,33.08,-16.33,66.2,64.4,6.93
55,Matsusaka,75,JP,1574558671,72,34.59,136.54,62.6,62.6,10.29
56,Bethel,90,US,1574558671,92,60.79,-161.76,26.6,24.8,3.36
57,Tarauaca,96,BR,1574558671,92,-8.16,-70.77,72.91,72.91,0.89
58,Riihimaki,72,FI,1574558672,92,60.74,24.78,32.0,27.0,5.82
59,Lagoa,56,PT,1574558464,87,37.14,-8.45,54.0,50.0,5.82
60,Nouadhibou,7,MR,1574558672,82,20.93,-17.03,66.2,66.2,14.99
61,Lompoc,1,US,1574558614,41,34.64,-120.46,69.8,57.2,11.41
62,Buala,91,SB,1574558672,63,-8.15,159.59,84.72,84.72,0.67
63,Cabo San Lucas,20,MX,1574558459,73,22.89,-109.91,73.99,68.0,5.82
64,Westport,1,US,1574558402,48,41.14,-73.36,45.0,34.0,8.05
65,Bluff,41,AU,1574558462,42,-23.58,149.07,82.99,82.99,9.71
66,Teknaf,0,BD,1574558673,96,20.86,92.31,60.19,60.19,1.68
67,Mount Gambier,75,AU,1574558673,51,-37.83,140.78,62.6,62.6,8.05
68,Ostrovnoy,95,RU,1574558673,93,68.05,39.51,25.43,25.43,18.3
69,Hasaki,75,JP,1574558673,100,35.73,140.83,64.0,60.01,8.05
70,Isangel,75,VU,1574558667,61,-19.55,169.27,80.6,80.6,6.93
71,Cerritos,1,US,1574558674,48,33.86,-118.05,69.8,60.01,13.87
72,Kaitangata,53,NZ,1574558398,69,-46.28,169.85,56.01,56.01,36.62
73,Cascais,20,PT,1574558675,93,38.7,-9.42,53.01,48.0,4.7
74,Solnechnyy,98,RU,1574558675,90,50.72,136.64,9.41,9.41,2.48
75,Faya,0,SA,1574558675,93,18.39,42.45,55.4,55.4,4.16
76,New Norfolk,75,AU,1574558407,34,-42.78,147.06,66.0,62.01,19.46
77,Constitucion,5,MX,1574558595,13,23.99,-104.67,66.2,66.2,8.05
78,Lebu,75,ET,1574558676,93,8.96,38.73,57.2,57.2,3.36
79,Port Macquarie,90,AU,1574558676,78,-31.43,152.91,78.01,71.6,8.05
80,Molina,20,CL,1574558676,55,-35.11,-71.28,66.99,64.4,8.05
81,Cherskiy,58,RU,1574558602,94,68.75,161.3,-27.47,-27.47,4.43
82,Penzance,84,GB,1574558676,100,50.12,-5.53,53.01,50.0,5.82
83,Tautira,75,PF,1574558677,58,-17.73,-149.15,86.0,86.0,11.41
84,Teguise,40,ES,1574558677,88,29.06,-13.56,66.2,66.2,4.7
85,Ustye,32,RU,1574558677,50,58.76,27.79,23.41,23.41,5.03
86,Chapais,90,CA,1574558677,86,49.78,-74.86,28.4,28.4,9.17
87,Ushuaia,100,AR,1574558678,37,-54.81,-68.31,55.4,55.4,11.41
88,Zhanaozen,0,KZ,1574558678,43,43.35,52.85,20.84,20.84,1.88
89,Pisco,90,PE,1574558678,88,-13.71,-76.2,68.0,68.0,14.99
90,Saint-Philippe,1,CA,1574558679,74,45.36,-73.48,35.6,27.0,6.93
91,Paamiut,99,GL,1574558679,65,61.99,-49.67,34.47,34.47,14.47
92,Ribeira Grande,100,PT,1574558679,91,38.52,-28.7,64.96,64.96,17.98
93,Leningradskiy,96,RU,1574558679,97,69.38,178.42,-5.33,-5.33,18.68
94,Shikhazany,0,RU,1574558679,72,55.56,47.39,15.8,15.8,6.71
95,Yarim,29,YE,1574558679,71,14.3,44.38,53.49,53.49,5.17
96,Tual,63,ID,1574558679,66,-5.67,132.75,83.16,83.16,4.88
97,Norman Wells,75,CA,1574558680,84,65.28,-126.83,-0.4,-0.4,2.24
98,Gravdal,100,NO,1574558595,87,59.79,5.78,48.99,42.8,8.05
99,Tigil,100,RU,1574558680,69,57.8,158.67,21.47,21.47,15.39
100,Noumea,96,NC,1574558604,42,-22.28,166.46,82.4,82.4,19.46
101,Dubinino,87,RU,1574558680,67,55.62,89.08,8.64,8.64,6.55
102,Petit-Bourg,67,GP,1574558681,88,16.19,-61.59,75.2,75.2,2.24
103,Ukiah,1,US,1574558558,39,39.15,-123.21,64.99,48.99,6.67
104,Upernavik,100,GL,1574558462,60,72.79,-56.15,30.42,30.42,19.22
105,Nushki,57,PK,1574558681,60,29.55,66.02,47.73,47.73,1.16
106,Saskylakh,99,RU,1574558681,100,71.97,114.09,-28.3,-28.3,1.74
107,Victoria,75,BN,1574558471,74,5.28,115.24,84.2,82.0,3.36
108,Tsabong,0,BW,1574558682,13,-26.02,22.4,70.93,70.93,11.86
109,Albany,1,US,1574558467,74,42.65,-73.75,34.0,26.01,4.29
110,Birobidzhan,100,RU,1574558682,84,48.79,132.93,8.51,8.51,4.63
111,Mocuba,100,MZ,1574558682,91,-16.84,36.99,76.03,76.03,1.45
112,Ciudad Guayana,84,VE,1574558683,92,8.32,-62.69,76.26,76.26,5.55
113,Ayan,90,IR,1574558683,92,38.23,44.7,23.02,23.02,0.81
114,Mataura,31,NZ,1574558683,61,-46.19,168.86,60.01,60.01,23.0
115,Qaanaaq,99,GL,1574558683,64,77.48,-69.36,9.37,9.37,9.04
116,Verkhnevilyuysk,99,RU,1574558683,93,63.45,120.31,-9.56,-9.56,6.49
117,Suraabad,90,AZ,1574558683,93,40.82,49.47,39.2,39.2,2.24
118,Truckee,1,US,1574558684,69,39.33,-120.18,46.99,34.0,5.01
119,Karratha,42,AU,1574558684,51,-20.74,116.85,86.49,86.49,5.64
120,Okha,73,RU,1574558684,75,53.59,142.95,14.25,14.25,21.32
121,Nuuk,100,GL,1574558684,64,64.17,-51.74,37.4,37.0,33.33
122,Nome,1,US,1574558601,82,30.04,-94.42,57.0,48.2,6.93
123,Kani,75,JP,1574558685,72,35.43,137.06,66.0,54.0,10.29
124,Hobart,75,AU,1574558406,34,-42.88,147.33,66.0,62.01,19.46
125,Ancud,90,CL,1574558686,100,-41.87,-73.83,51.8,51.8,10.29
126,Mirnyy,100,RU,1574558686,36,56.57,36.46,24.03,24.03,5.48
127,Mariinsk,54,RU,1574558686,83,56.21,87.75,4.82,4.82,11.32
128,Butaritari,70,KI,1574558686,64,3.07,172.79,83.82,83.82,5.59
129,Tasiilaq,0,GL,1574558686,57,65.61,-37.64,23.0,23.0,2.24
130,Mar del Plata,100,AR,1574558687,51,-46.43,-67.52,64.83,64.83,8.41
131,Khatanga,88,RU,1574558461,100,71.98,102.47,-20.88,-20.88,1.92
132,Maceio,20,BR,1574558687,88,-9.67,-35.74,73.4,73.4,3.36
133,Idar-Oberstein,97,DE,1574558687,93,49.71,7.31,41.0,33.8,9.17
134,Mutis,13,CO,1574558687,80,6.23,-77.4,80.37,80.37,5.93
135,Avera,1,US,1574558687,93,33.19,-82.53,64.4,60.01,5.82
136,Sao Filipe,66,CV,1574558688,79,14.9,-24.5,72.66,72.66,15.97
137,Bay Roberts,5,CA,1574558536,93,47.58,-53.28,36.0,34.0,12.75
138,Okhotsk,99,RU,1574558688,69,59.36,143.24,7.29,7.29,24.96
139,Tunggol,95,PH,1574558688,84,5.84,121.15,81.27,81.27,4.76
140,Barrow,39,AR,1574558689,36,-38.31,-60.23,61.56,61.56,17.2
141,Pochutla,40,MX,1574558689,70,15.74,-96.47,84.2,79.0,4.03
142,Vanimo,95,PG,1574558689,78,-2.67,141.3,81.63,81.63,9.86
143,Jalu,54,LY,1574558689,29,29.03,21.55,63.55,63.55,10.65
144,Ilulissat,100,GL,1574558689,44,69.22,-51.1,37.4,37.4,16.11
145,Baculin,67,PH,1574558689,61,7.45,126.58,81.1,81.1,3.96
146,Zvenyhorodka,94,UA,1574558689,42,49.08,30.97,22.06,22.06,9.57
147,Tiznit,98,MA,1574558690,93,29.7,-9.73,53.64,53.64,10.07
148,Thompson,90,CA,1574558690,92,55.74,-97.86,21.2,21.2,8.05
149,Kichera,100,RU,1574558690,92,55.93,110.1,-9.09,-9.09,2.8
150,Arraial do Cabo,69,BR,1574558690,90,-22.97,-42.02,73.81,73.81,23.51
151,Nybro,100,SE,1574558690,93,56.75,15.91,41.0,37.0,12.75
152,Carupano,87,VE,1574558691,98,10.67,-63.26,72.5,72.5,1.92
153,Souillac,83,FR,1574558691,93,45.6,-0.6,46.99,41.0,2.24
154,Sinnamary,93,GF,1574558692,83,5.38,-52.96,81.79,81.79,16.02
155,Onega,87,RU,1574558692,73,63.91,38.09,26.89,26.89,9.71
156,Banka,76,IN,1574558692,64,24.88,86.92,65.34,65.34,2.59
157,Yellowknife,75,CA,1574558609,85,62.45,-114.38,21.2,19.0,11.41
158,Kouroussa,0,GN,1574558693,44,10.65,-9.88,74.05,74.05,0.92
159,Longyearbyen,90,NO,1574558693,85,78.22,15.63,19.4,19.4,9.17
160,Severobaykalsk,100,RU,1574558694,69,55.65,109.32,10.85,10.85,12.39
161,Hofn,100,IS,1574558694,92,64.25,-15.21,45.79,45.79,16.73
162,Barcelona,85,ES,1574558533,54,41.38,2.18,55.99,45.0,23.04
163,Padang,100,ID,1574558695,96,-0.92,100.36,67.95,67.95,2.82
164,Alekseyevskaya,0,RU,1574558696,74,45.77,40.15,26.31,26.31,20.94
165,Kraljevo,12,RS,1574558696,100,43.72,20.69,30.2,30.2,2.24
166,Jangaon,0,IN,1574558696,73,17.72,79.16,64.27,64.27,1.54
167,Roatan,20,HN,1574558696,88,16.32,-86.54,78.8,78.8,5.82
168,Verkhoyansk,0,RU,1574558697,82,67.55,133.39,-39.87,-39.87,1.7
169,Uyuni,66,BO,1574558697,46,-20.46,-66.82,58.03,58.03,17.43
170,Along,98,IN,1574558697,98,28.17,94.8,58.89,58.89,1.61
171,Ternate,75,PH,1574558697,70,14.29,120.72,87.01,82.99,3.36
172,Puerto Ayacucho,86,CO,1574558697,91,5.66,-67.63,75.18,75.18,2.37
173,Los Llanos de Aridane,0,ES,1574558698,72,28.66,-17.92,66.2,64.99,5.82
174,Sal Rei,75,CV,1574558698,78,16.18,-22.92,71.6,71.6,12.75
175,Keti Bandar,100,PK,1574558699,47,24.14,67.45,72.68,72.68,14.47
176,Lavrentiya,75,RU,1574558699,81,65.58,-170.99,10.62,10.62,16.73
177,Cairns,40,AU,1574558558,51,-16.92,145.77,90.0,82.99,12.75
178,Castro,90,CL,1574558699,100,-42.48,-73.76,51.8,51.8,10.29
179,Kurumkan,70,RU,1574558699,81,54.33,110.32,-14.51,-14.51,2.44
180,Samarinda,96,ID,1574558700,75,-0.5,117.14,82.17,82.17,1.61
181,Katsuura,75,JP,1574558700,72,33.93,134.5,64.99,60.8,6.93
182,Olinda,0,AU,1574558700,42,-37.84,145.39,73.99,61.0,4.7
183,Itaqui,0,BR,1574558700,76,-29.13,-56.55,66.92,66.92,10.71
184,Fare,87,PF,1574558700,77,-16.7,-151.02,81.52,81.52,13.38
185,Daru,76,PG,1574558700,57,-9.07,143.21,84.15,84.15,5.82
186,Deputatskiy,100,RU,1574558701,93,69.3,139.9,-25.37,-25.37,4.45
187,Luderitz,0,NA,1574558701,76,-26.65,15.16,60.1,60.1,28.48
188,La Rioja,79,AR,1574558701,63,-29.41,-66.86,69.39,69.39,11.63
189,Benguela,70,AO,1574558701,78,-12.58,13.4,74.28,74.28,3.94
190,Lasa,67,CY,1574558701,71,34.92,32.53,57.2,55.4,8.05
191,Zainsk,90,RU,1574558702,78,55.29,52.01,15.8,15.8,6.71
192,Iqaluit,75,CA,1574558702,68,63.75,-68.52,28.4,28.0,13.87
193,Rongcheng,100,CN,1574558702,90,37.16,122.42,52.29,52.29,23.73
194,Rocha,8,UY,1574558702,86,-34.48,-54.34,53.24,53.24,6.31
195,Senneterre,20,CA,1574558474,92,48.39,-77.24,28.4,28.4,4.7
196,Mae Sai,20,MM,1574558703,94,20.44,99.89,69.01,68.0,3.36
197,Poronaysk,74,RU,1574558703,43,49.22,143.1,33.76,33.76,9.37
198,Klaksvik,100,FO,1574558703,81,62.23,-6.59,44.6,44.6,8.05
199,Henties Bay,0,NA,1574558703,86,-22.12,14.28,57.99,57.99,4.88
200,Carnot,94,CF,1574558703,71,4.94,15.87,71.89,71.89,0.63
201,Kargasok,100,RU,1574558704,95,59.06,80.87,8.33,8.33,8.46
202,Benalla,52,AU,1574558704,24,-36.55,145.99,80.01,69.01,5.82
203,Tiksi,96,RU,1574558462,91,71.64,128.87,-24.34,-24.34,5.84
204,Garowe,74,SO,1574558704,77,8.41,48.48,74.37,74.37,9.86
205,Zhifang,98,CN,1574558704,59,30.35,114.31,64.4,64.4,11.18
206,Inongo,100,CD,1574558705,96,-1.93,18.29,69.76,69.76,2.51
207,Tame,61,CO,1574558705,86,6.46,-71.72,75.54,75.54,3.09
208,Dudinka,28,RU,1574558705,76,69.41,86.18,-11.2,-11.2,6.71
209,East London,100,ZA,1574558706,85,-33.02,27.91,68.34,68.34,10.27
210,Kahului,75,US,1574558546,61,20.89,-156.47,80.6,71.01,13.87
211,Kavieng,76,PG,1574558706,73,-2.57,150.8,82.27,82.27,8.05
212,Port Blair,20,IN,1574558706,88,11.67,92.75,77.0,77.0,2.24
213,Tilichiki,1,RU,1574558706,80,60.47,166.1,-0.31,-0.31,7.49
214,Dombasle-sur-Meurthe,100,FR,1574558707,100,48.62,6.35,37.4,32.0,0.49
215,Carballo,34,ES,1574558707,93,43.21,-8.69,48.99,43.0,6.93
216,Najran,40,SA,1574558707,71,17.54,44.22,57.2,57.2,3.02
217,Nizhniy Kuranakh,99,RU,1574558707,94,58.84,125.49,-12.28,-12.28,6.78
218,Rassvet,0,RU,1574558707,85,49.11,45.47,19.83,19.83,6.29
219,Cockburn Town,18,TC,1574558707,64,21.46,-71.14,79.72,79.72,14.16
220,Aqtobe,90,KZ,1574558707,85,50.28,57.21,15.8,15.8,11.18
221,Ryazanskaya,0,RU,1574558708,79,44.96,39.59,26.01,24.8,8.95
222,Gamba,23,CN,1574558708,50,28.28,88.52,24.66,24.66,2.62
223,Eitorf,97,DE,1574558708,81,50.77,7.45,44.01,33.01,3.36
224,Guerrero Negro,100,MX,1574558708,47,27.97,-114.04,69.06,69.06,8.39
225,Saint-Augustin,5,CA,1574558709,86,45.63,-73.98,34.0,27.0,8.05
226,Lorengau,69,PG,1574558410,74,-2.02,147.27,83.46,83.46,10.78
227,San Cristobal,44,HN,1574558441,90,14.68,-86.92,68.05,68.05,4.45
228,Nagua,0,DO,1574558709,75,19.37,-69.85,69.15,69.15,1.1
229,Itaituba,94,BR,1574558709,96,-4.26,-55.99,73.9,73.9,2.15
230,Turbat,0,PK,1574558709,40,26.0,63.05,62.6,62.6,18.28
231,Sabang,100,PH,1574558710,81,13.8,121.11,79.07,79.07,6.2
232,Garissa,100,KE,1574558710,96,-0.46,39.64,73.89,73.89,6.49
233,Elizabethtown,90,US,1574558710,86,40.15,-76.6,37.99,34.0,6.93
234,Wallacetown,75,GB,1574558710,93,55.46,-4.61,46.99,46.0,6.2
235,Te Anau,17,NZ,1574558532,74,-45.41,167.72,52.77,52.77,9.17
236,Pandua,4,IN,1574558711,93,23.08,88.29,66.2,66.2,3.15
237,Linares,99,CL,1574558711,73,-35.85,-71.6,56.08,56.08,1.57
238,Port Augusta,0,AU,1574558711,49,-32.49,137.76,73.4,73.4,8.05
239,Mwinilunga,79,ZM,1574558711,96,-11.73,24.43,63.0,63.0,3.29
240,Aswan,15,EG,1574558711,34,24.09,32.9,60.89,60.89,10.04
241,Saint-Denis,20,FR,1574558711,100,48.94,2.36,48.0,39.2,3.36
242,Hovd,64,NO,1574558712,91,63.83,10.7,41.0,28.0,6.93
243,Chuy,4,UY,1574558712,74,-33.69,-53.46,60.1,60.1,9.91
244,Carnarvon,0,ZA,1574558712,36,-30.97,22.13,55.47,55.47,11.39
245,Songjianghe,100,CN,1574558713,94,42.18,127.48,24.71,24.71,9.15
246,Kihei,75,US,1574558713,61,20.76,-156.45,80.6,71.01,13.87
247,Nemuro,90,JP,1574558713,100,43.32,145.57,50.0,50.0,5.82
248,Kununurra,19,AU,1574558714,38,-15.77,128.74,91.4,91.4,14.99
249,Naze,41,NG,1574558530,94,5.43,7.07,75.15,75.15,3.87
250,Esperance,12,AU,1574558465,38,-33.86,121.89,75.2,75.2,8.05
251,Xunchang,92,CN,1574558714,78,28.45,104.71,54.54,54.54,0.74
252,Alofi,100,NU,1574558714,88,-19.06,-169.92,80.6,80.6,5.82
253,Leh,61,IN,1574558714,49,34.16,77.58,14.81,14.81,2.04
254,Pokhara,96,NP,1574558516,93,28.21,83.99,56.79,56.79,2.06
255,Alugan,79,PH,1574558715,85,12.22,125.48,81.48,81.48,13.47
256,Cidreira,39,BR,1574558463,65,-30.17,-50.22,66.94,66.94,16.67
257,Tranas,100,SE,1574558620,93,58.04,14.98,37.4,37.0,8.05
258,Tshane,11,BW,1574558716,12,-24.02,21.87,75.76,75.76,11.36
259,Hashtgerd,20,IR,1574558716,84,35.96,50.69,37.4,26.6,4.7
260,Narsaq,84,GL,1574558716,45,60.91,-46.05,24.8,24.8,6.62
261,Touho,78,NC,1574558716,31,-20.78,165.23,88.54,88.54,2.95
262,Puerto Escondido,40,MX,1574558716,70,15.86,-97.07,84.2,84.2,1.45
263,Basco,1,US,1574558717,69,40.33,-91.2,39.99,33.8,6.93
264,Ulaanbaatar,45,MN,1574558652,75,47.92,106.92,-18.4,-18.4,1.07
265,Ojinaga,1,US,1574558717,27,29.56,-104.41,62.6,57.0,5.82
266,Dalbandin,8,PK,1574558717,55,28.9,64.41,49.17,49.17,6.6
267,ChengDe,97,CN,1574558717,27,40.97,117.93,26.06,26.06,16.28
268,San Ignacio,99,PE,1574558420,96,-5.15,-79.0,63.63,63.63,1.52
269,Novomykolayivka,79,UA,1574558718,42,48.54,32.26,21.78,21.78,10.71
270,Borisoglebskiy,98,RU,1574558718,72,57.26,39.15,15.8,15.8,4.47
271,Kaele,17,CM,1574558718,21,10.11,14.45,78.28,78.28,7.16
272,Linqu,100,CN,1574558718,88,36.52,118.54,48.0,48.0,3.0
273,Geraldton,90,CA,1574558718,92,49.72,-86.95,30.2,30.2,5.82
274,Powell River,90,CA,1574558719,93,49.84,-124.52,48.0,44.6,17.22
275,Kizhinga,42,RU,1574558719,91,51.85,109.91,-0.08,-0.08,8.05
276,Samana,47,EC,1574558719,96,0.12,-76.97,72.28,72.28,2.15
277,Bilma,0,NE,1574558719,17,18.69,12.92,76.5,76.5,7.9
278,Severo-Kurilsk,100,RU,1574558719,99,50.68,156.12,34.72,34.72,7.67
279,Atasu,68,KZ,1574558719,85,48.68,71.64,8.78,8.78,6.6
280,Yar-Sale,62,RU,1574558719,92,66.83,70.83,-11.74,-11.74,3.71
281,Melilla,75,EC,1574558720,88,-0.8,-80.23,75.2,75.2,10.29
282,Springbok,0,ZA,1574558720,63,-29.67,17.88,47.43,47.43,4.12
283,Borovskoy,60,KZ,1574558720,95,53.8,64.15,12.02,12.02,7.87
284,Umm Bab,1,QA,1574558720,67,25.21,50.81,62.6,62.6,7.0
285,Eydhafushi,37,MV,1574558720,78,5.1,73.07,83.59,83.59,17.13
286,Salalah,0,OM,1574558720,36,17.01,54.1,77.0,77.0,11.41
287,Awbari,0,LY,1574558721,21,26.59,12.77,61.86,61.86,0.96
288,Port Hardy,90,CA,1574558721,100,50.7,-127.42,48.2,48.2,4.7
289,Razole,0,IN,1574558721,88,16.48,81.84,68.77,68.77,2.89
290,Ulm,100,DE,1574558721,93,48.4,9.99,44.01,37.0,3.36
291,Tucurui,12,BR,1574558451,83,-3.77,-49.67,74.68,74.68,3.13
292,Vardo,90,US,1574558722,90,39.62,-77.74,39.2,35.6,4.7
293,Karachi,85,PK,1574558722,52,24.87,67.03,68.0,68.0,6.93
294,Balsas,62,BR,1574558698,80,-7.53,-46.04,77.04,77.04,3.13
295,Mokrousovo,98,RU,1574558722,96,55.81,66.77,14.67,14.67,7.65
296,Kutum,27,SD,1574558722,25,14.2,24.66,63.39,63.39,4.83
297,Balauseri,43,RO,1574558722,79,46.4,24.68,33.8,32.0,9.17
298,Dunedin,47,NZ,1574558432,76,-45.87,170.5,59.0,59.0,20.0
299,Udachnyy,98,RU,1574558723,67,66.42,112.4,-27.4,-27.4,2.24
300,Sorland,100,NO,1574558723,86,67.67,12.69,45.73,45.73,20.45
301,Klamath Falls,1,US,1574558723,56,42.22,-121.78,45.0,37.99,1.83
302,Snasa,89,NO,1574558723,97,64.25,12.38,29.98,29.98,4.68
303,Willowmore,21,ZA,1574558723,77,-33.3,23.49,53.01,53.01,1.52
304,Manavalakurichi,40,IN,1574558723,88,8.13,77.3,78.8,78.8,4.7
305,Rio Gallegos,20,AR,1574558523,76,-51.62,-69.22,51.8,51.8,32.21
306,Den Helder,90,NL,1574558706,100,52.96,4.76,43.0,39.0,9.17
307,Chokurdakh,85,RU,1574558724,99,70.62,147.9,-24.99,-24.99,8.7
308,Necochea,45,AR,1574558724,86,-38.55,-58.74,52.0,52.0,5.01
309,Sao Miguel do Araguaia,89,BR,1574558724,71,-13.28,-50.16,76.15,76.15,3.06
310,Atambua,26,ID,1574558724,62,-9.11,124.89,83.71,83.71,4.12
311,Champerico,40,MX,1574558725,69,16.38,-93.6,78.8,78.8,18.34
312,Zhangjiakou,45,CN,1574558725,31,40.77,114.88,12.42,12.42,22.7
313,Airai,0,TL,1574558725,35,-8.93,125.41,83.44,83.44,2.55
314,Haines Junction,79,CA,1574558725,90,60.75,-137.51,16.5,16.5,5.77
315,Laguna,30,BZ,1574558725,94,16.17,-88.94,77.0,77.0,2.44
316,Aksarka,74,RU,1574558725,85,66.56,67.8,-8.86,-8.86,0.2
317,Caraquet,1,CA,1574558725,63,47.79,-64.94,28.0,26.6,21.92
318,Progreso,40,UY,1574558726,59,-34.68,-56.22,66.0,60.01,11.41
319,Nampa,32,US,1574558726,52,43.57,-116.56,45.0,37.0,4.79
320,Beringovskiy,0,RU,1574558726,82,63.05,179.32,7.45,7.45,13.27
321,Gornyy,0,RU,1574558726,40,51.76,48.54,19.22,19.22,5.93
322,Benjamin Constant,75,BR,1574558726,100,-4.38,-70.03,75.2,75.2,4.7
323,Rio Grande,5,BR,1574558726,66,-32.03,-52.1,64.56,64.56,17.92
324,Wajir,89,KE,1574558727,73,1.75,40.07,80.22,80.22,10.56
325,Timra,100,SE,1574558727,100,62.49,17.33,39.0,37.4,4.7
326,Suratgarh,65,IN,1574558727,53,29.32,73.9,63.7,63.7,6.2
327,Thanh Hoa,75,VN,1574558727,78,10.21,106.33,82.4,82.4,3.65
328,Araouane,0,ML,1574558727,14,18.9,-3.53,69.93,69.93,5.66
329,Harper,1,US,1574558727,53,30.3,-99.24,60.01,51.01,4.7
330,Murgab,90,TM,1574558728,86,37.5,61.97,30.2,30.2,11.41
331,Port-Cartier,20,CA,1574558728,79,50.03,-66.88,24.8,24.8,3.36
332,Saint George,75,GR,1574558728,93,39.45,22.34,53.6,51.8,2.33
333,Nelson Bay,90,AU,1574558728,73,-32.72,152.14,71.6,69.01,4.23
334,Neuquen,40,AR,1574558728,46,-38.95,-68.06,69.8,69.8,6.93
335,Havelock,90,US,1574558650,87,34.88,-76.9,64.4,53.01,8.05
336,Nouakchott,0,MR,1574558729,59,18.08,-15.98,64.4,64.4,8.05
